category,reference_number,date_logged,request_status,issue_description,service,address
Waste Management,9121481453,2025-12-29,Closed,Dumping in corner of Buintenkant street and Glynn street next to Nurock day hospital,Illegal Dumping,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121481436,2025-12-29,Closed,Dumping on corner of Maynard street and Wesley street,Illegal Dumping,0 CORNER MAYNARD AND WESLEY GARDENS GARDENS
Electricity,9121502000,2026-01-02,Closed,All Street lights are off at Glynn and Buitenkant Street,Street Lights - All Lights Out,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Electricity,9121506355,2026-01-04,Closed,"Maynard,Mill and Glynn Street",Street Lights - All Lights Out,0 CORNER MAYNARD AND MILL GARDENS GARDENS
Electricity,9121506359,2026-01-04,Closed,Scot and Mckenzie Street,Street Lights - All Lights Out,0 CORNER MCKENZIE AND SCOTT GARDENS GARDENS
Waste Management,9121506766,2026-01-05,Closed,In Wesley street between Buitenkant street and Hope street debris laying bad,Illegal Dumping,0 CORNER BUITENKANT AND WESLEY GARDENS GARDENS
Water & Sanitation,9121507711,2026-01-05,Closed,Between Harrington street and Glynn street next to building 143 Harrington pipe leaking need to be fixed,Burst Pipe,143 HARRINGTON ST GARDENS GARDENS
Water & Sanitation,9121520775,2026-01-06,Closed,Between Harrington street and Glynn street Harrington pipe leaking need to be fixed,Manhole Cover/Gully Grid,0 CORNER GLYNN AND HARRINGTON GARDENS GARDENS
Water & Sanitation,9121528690,2026-01-08,Closed,Between Harrington and Glynn street leak need to be fixed.,Burst Pipe,0 CORNER GLYNN AND HARRINGTON GARDENS GARDENS
Waste Management,9121528687,2026-01-08,Closed,In corner of Wesley and Buitenkant street the is dumping laying there.,Illegal Dumping,0 CORNER BUITENKANT AND WESLEY GARDENS GARDENS
Waste Management,9121528686,2026-01-08,Closed,In corner of Mckenzie street and Roeland street dumping need to be collected.,Illegal Dumping,0 CORNER MCKENZIE AND ROELAND GARDENS GARDENS
Waste Management,9121528683,2026-01-08,Closed,In corner of Glynn and Buitenkant street debris need to be collected,Illegal Dumping,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121535729,2026-01-08,Closed,Reinstatement needed at 9 Vrede Street nearest corner St John's Road,Traffic sign - Damage,16 TUIN PLEIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121535751,2026-01-08,Closed,Reinstatement needed at 7 Vrede Street nearest corner St John's street.,Traffic sign - Damage,0 VREDE STREET GARDENS GARDENS
Parks & Recreation,9121535830,2026-01-08,Assigned,Tree touching the boundary at 87 St Johns Road nearest corner Vrede Street,Tree Trimming,79 ST JOHNS ROAD UNKNOWN GARDENS
Roads & Infrastructure,9121535862,2026-01-08,Closed,Reinstatement needed along Wandel Street at number 18 nearest corner Gordon Street,Traffic sign - Damage,18 WANDEL ST GARDENS GARDENS
Law Enforcement,9121535864,2026-01-08,Closed,Graffiti removal needed at 5 Glynville Street nearest corner Wandel Street,Grafitti,"5 GLYNVILLE STREET GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121535869,2026-01-08,Closed,Defect in the road at number 2 Roodehek Street nearest corner Hope Street,Defect Road Foot Bic Way/Kerbs,2 ROODEHEK ST GARDENS GARDENS
Water & Sanitation,9121535903,2026-01-08,Closed,Missing cover at 8 Roodehek Street nearest corner Clare Street,Missing Cover Valve,8 CLARE STREET UNKNOWN GARDENS
